NYSE and NYSE Amex Equities Membership Directory 
Member Name,Market Name,Address,Phone,Fax,Website,Email
ABN AMRO Clearing Chicago LLC,NYSE,175 West Jackson Blvd. 4th Floor Chicago IL 60604,(312) 604-8000, ,www.us.fortisclearing.com, 
Abel/Noser Corporation,NYSE,One Battery Park Plaza 6th Floor New York NY 10004,(646) 432-4000,(212) 363-7574,www.abelnoser.com, 
Advanced Equities Services Corp.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 785-3370, , , 
Albert Fried & Company LLC,NYSE,45 Broadway 24th Floor New York NY 10006,(212) 542-8266,(212) 422-7293,www.albertfried.com, 
Allston Trading LLC ,NYSE,One Financial Place  440 South LaSalle Street Suite 1200 Chicago IL 60605,(312) 663-7220,(312) 663-8841,www.allstontrading.com, 
Archipelago Securities LLC,NYSE,100 South Wacker Drive Suite 1800 Chicago IL 60606,(312) 960-1696, ,www.tradearca.com, 
BIDS Trading LP,NYSE,111 Broadway Suite 1603 New York NY 10006,(212) 618-2060, ,www.bidstrading.com, 
BMO Capital Markets Corp. ,NYSE,3 Times Square 27th Floor New York NY 10036,(212) 702-1200,(212) 702-1204,www.bmocm.com, 
BNP Paribas Securities Corp.,NYSE,787 Seventh Avenue   New York NY 10019,(212) 841-2000,(212) 841-2146,www.corp.bnpparibas.com, 
Banca IMI Securities Corp.,NYSE,One William Street   New York NY 10004,(212) 326-1100,(212) 326-1175,www.bancaimi.it, 
Barclays Capital Inc.,NYSE,745 Seventh Avenue   New York NY 10019,(212) 526-7000, ,www.barcap.com, 
Bay Crest Partners LLC,NYSE,40 Wall Street 45th Floor New York NY 10005,(212) 480-1400,(212) 248-3815,www.baycrestpartners.com, 
Benjamin & Jerold Brokerage Inc.,NYSE,55 Broad Street 28th Floor New York NY 10004,(312) 341-0816  , ,www.benjaminjerold.com, 
Blue Point Securities Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 668-8700,(212) 668-8428, , 
Bowers Securities Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 656-5000, , , 
Brendan E. Cryan and Company LLC,NYSE,2 Rector Street   New York NY 10006,(212) 285-1191,(212) 285-1192,www.bcryanco.com, 
Brown Brothers Harriman & Co.,NYSE,140 Broadway   New York NY 10005,(212) 483-1818, ,www.bbh.com, 
CIBC World Markets Corp.,NYSE,425 Lexington Avenue   New York NY 10017,(212) 856-4000, ,www.cibcwm.com, 
Capital Institutional Services Inc.,NYSE,1601 Elm St. Suite 3900 Dallas TX 75201,(214) 720-0055, ,www.capis.com, 
Citadel Securities LLC,NYSE,131 South Dearborn Street 32nd Floor Chicago IL 60603,(312) 395-3116, ,www.citadelgroup.com, 
Citigroup Global Markets Inc.,NYSE,388 Greenwich Street   New York NY 10013-2396,(212) 816-6000, ,www.citigroup.com, 
Clearview Correspondent Services LLC,NYSE,800 Discovery Drive Suite 200 Richmond VA 23229,(804) 643-1811, , , 
ConvergEx Execution Solutions LLC,NYSE,1633 Broadway 48th Floor New York NY 10019,(212) 468-7500,(212) 468-7505,www.bnyconvergex.com, 
Cowen and Company LLC,NYSE,599 Lexington Ave. 20th Floor New York NY 10020,(646) 562-1000, ,www.cowen.com, 
Credit Agricole Cheuvreux North America Inc.,NYSE,1301 Avenue of the Americas 15th Floor New York NY 10019,(212) 492-8800,(212) 492-8801,www.cheuvreux.com, 
Credit Agricole Securities (USA) Inc.,NYSE,1301 Avenue of the Americas 15th Floor New York NY 10019,(212) 408-5700, ,www.calyon.com, 
Credit Suisse Securities (USA) LLC ,NYSE,11 Madison Avenue   New York NY 10010-3629,(212) 325-2000,(212) 325-6665,www.credit-suisse.com, 
Crowell Weedon & Co.,NYSE,One Wilshire Blvd. 624 South Grand Ave. Los Angeles CA 90017,(213) 620-1850, ,www.crowellweedon.com, 
Cuttone & Co. Inc.,NYSE,111 Broadway 10th Floor New York NY 10006,(646) 943-5400, ,www.cuttone.com, 
DAG Securities Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 668-8700,(212) 668-8428,www.dagllc.com, 
DART Executions LLC,NYSE,350 N. Orleans Street Suite 2N Chicago IL 60654,(312) 244-5000, ,www.dartexecutions.com, 
DE Route,NYSE,545 Washington Blvd.   Jersey City NJ 07310,(201) 942-8228,(201) 604-7004,www.directedge.com, 
DME Securities LLC,NYSE,c/o MAC Consulting Group Inc. 2 Rector Street - Suite 2101 New York NY 10006,(212) 267-6011,(212) 267-1085, , 
DRW Securities LLC,NYSE,540 West Madison Street Suite 2500 Chicago IL 60606,(312) 542-1114, ,www.drwholdings.com, 
Daiwa Capital Markets America Inc.,NYSE,32 Old Slip  Financial Square New York NY 10005,(212) 612-7000, ,www.daiwausa.com, 
Davenport & Company LLC,NYSE,901 East Cary Street 11th Floor Richmond VA 23219,(804) 780-2000,(804) 780-2008,www.davenportllc.com, 
Dermott W. Clancy Corp.,NYSE,40 Wall Street 38th Floor New York NY 10005,(212) 747-1744,(212) 747-1763, , 
Deutsche Bank Securities Inc.,NYSE,60 Wall Street   New York NY 10005,(212) 250-2500, ,www.db.com, 
Direct Access Partners LLC,NYSE,14 Wall Street 18th Floor New York NY 10005,(212) 850-8896,(212) 346-0636,www.dapartners.com, 
Doyle NYX Inc.,NYSE,c/o MAC Consulting Group Inc. 2 Rector Street - Suite 2101 New York NY 10006,(212) 267-6011,(212) 267-1085,www.johnjdoyle.com, 
Dru Stock Inc.,NYSE,5 Arthurs Court   Newtown CT 06470,(212) 344-3116,(203) 270-0479,www.drustock.com, 
E&J Securities Corp.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 668-8700,(212) 668-8428, , 
E*TRADE Clearing LLC,NYSE,Harborside Financial Center 34 Exchange Place Jersey City NJ 07311,(212) 826-8730,(212) 826-3544,www.etrade.com, 
Edward D. Jones & Co.,NYSE,12555 Manchester Road   St. Louis MO 63131,(314) 515-4900, ,www.edwardjones.com, 
Electronic Brokerage Systems LLC,NYSE,141 West Jackson Blvd. Suite 3510 Chicago IL 60604,(312) 663-3655,(312) 663-3669,www.belzberg.com, 
Electronic Transaction Clearing Inc.,NYSE,600 South Figueroa Street Suite 1450 Los Angeles CA 90017,(213) 402-1563, ,www.etc-clearing.com, 
Empire Executions Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 668-8700,(212) 668-8428, , 
FBN Securities Inc.,NYSE,14 Wall Street 30th Floor New York NY 10005,(212) 571-2722,(212) 571-2727,www.fbnsecurities.com, 
Farina & Associates Inc.,NYSE,20 Broad Street 7th Floor New York NY 10005,(212) 668-8700,(212) 480-3786,www.farinaandassociates.com, 
Ferretti Group Inc.,NYSE,40 Wall Street 34th Floor New York NY 10005,(212) 509-1982,(212) 509-1968, , 
First Clearing LLC,NYSE,901 East Byrd Street 12th Floor Mail Code WS2491 Richmond VA 23219,(804) 965-2200, ,www.firstclearing.com, 
Fred Alger & Company Inc.,NYSE,600 Plaza One   Jersey City NJ 07311,(800) 223-3810, ,www.algerfund.com, 
G&L Partners Inc.,NYSE,10 Liberty Street Suite 21F New York NY 10005,(212) 217-0074, , , 
GETCO Securities LLC,NYSE,350 N. Orleans 3rd Floor South Chicago IL 60654,(312) 931-2200,(312) 931-2210, , 
Getco Execution Services LLC,NYSE,350 N. Orleans 3rd Floor South Chicago IL 60654,(312) 931-2200,(312) 931-2210,www.getcoexecution.com, 
Gilder Gagnon Howe & Co. LLC,NYSE,1775 Broadway   New York NY 10019,(212) 765-2500,(212) 582-1196,www.gghc.com, 
Glenwood Securities Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 267-1085, , , 
Global Direct Equities LLC,NYSE,71 Broadway 10th Floor New York NY 10006,(212) 785-1941,(212) 785-1201,www.globaldirectequities.com, 
Goldman Sachs Execution & Clearing LP,NYSE,30 Hudson Street   Jersey City NJ 07302,(212) 433-2266,(212) 433-7489,www.gs.com, 
Goldman Sachs & Company,NYSE,200 West Street   New York NY 10282-2198,(212) 902-1000,(212) 902-3000,www.gs.com, 
Gordon Haskett & Co.,NYSE,71 Arch Street 2nd Floor Greenwich CT 06830,(203) 862-5100, , , 
Gordon Haskett Capital Corporation,NYSE,441 Lexington Avenue   New York NY 10017,(212) 883-0600, ,www.indataweb.com, 
Greywolf Execution Partners Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 809-0579, , , 
Guzman & Company,NYSE,101 Aragon Avenue   Coral Gables FL 33134,(305) 374-3600,(305) 374-0731,www.guzman.com, 
HRT Financial LLC,NYSE,32 Old Slip 30th Floor New York NY 10005,(212) 293-1444,(212) 293-1939,www.hudson-trading.com, 
HSBC Securities (USA) Inc.,NYSE,452 Fifth Avenue   New York NY 10018,(212) 525-5000,(908) 203-4211,www.hsbcnet.com, 
Hamilton Executions L.L.C.,NYSE,71 Broadway Suite 12J New York NY 10006,(917) 974-0034, , , 
Hapoalim Securities USA Inc.,NYSE,One Battery Park Plaza 2nd Floor New York NY 10004,(212) 898-6200,(212) 898-6255,www.investec.com, 
Hold Brothers Execution Services LLC,NYSE,1177 Avenue of the Americas 2nd Floor New York NY 10036,(201) 499-8700,(201) 499-8750,www.holdbrothers.com, 
ICAP Corporates LLC,NYSE,Harborside Financial Center 1100 Plaza Five 12th Floor Jersey City NJ 07311,(212) 341-9944,(212) 341-9750,www.icap.com, 
ING Financial Markets LLC,NYSE,1325  Avenue of the Americas   New York NY 10019,(646) 424-6000, ,www.ing.com, 
ITG Execution Services Inc.,NYSE,4 International Drive    Rye Brook NY 10573,(914) 312-2300,(914) 312-2498,www.itg.com, 
ITG Inc.,NYSE,380 Madison Avenue   New York NY 10017,(212) 444-6450,(212) 444-6442,www.itg.com, 
Illustro Trading LLC,NYSE,c/o MAC Consulting Group Inc. 2 Rector Street - Suite 2101 New York NY 10006,(212) 267-6011,(212) 267-1085, , 
Infinium Securities Inc.,NYSE,1115 Magnolia Ave   Larkspur CA 94939,(416) 360-1920,(416) 360-7003,www.infiniumsecurities.com, 
Ingalls & Snyder LLC,NYSE,61 Broadway   New York NY 10006,(212) 269-7800,(212) 269-7813,www.ingalls.net, 
Instinet LLC,NYSE,Three Times Square   New York NY 10036,(212) 310-9500, ,www.instinet.com, 
Interactive Brokers LLC,NYSE,One Pickwick Plaza 1st Floor  Greenwich CT 06830,(203) 618-5700,(203) 618-5770,www.interactivebrokers.com, 
J. Streicher & Co. L.L.C.,NYSE,60 Broad Street 38th Floor New York NY 10004,(212) 425-2320,(212) 248-9061, , 
J.J.B. Hilliard W. L. Lyons LLC,NYSE,500 West Jefferson Street 7th Floor Louisville KY 40202,(502) 588-8400, ,www.hilliard.com, 
J.P. Morgan Clearing Corp.,NYSE,One Metrotech Center North   Brooklyn NY 11201,(347) 643-1000, ,www.globalclearing.com, 
J.P. Morgan Securities LLC,NYSE,383 Madison Avenue   New York NY 10179,(212) 272-2000,(212) 272-4785,www.jpmorgan.com, 
JNK Securities Corp.,NYSE,489 Fifth Avenue 25th Floor New York NY 10017,(212) 885-6300,(212) 885-6301,www.jnksecurities.com, 
James E. Coffey Securities Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 656-5000, , , 
Janney Montgomery Scott LLC,NYSE,1801 Market Street   Philadelphia PA 19103-1675,(215) 665-6000, ,www.jmsonline.com, 
Jefferies Execution Services Inc.,NYSE,520 Madison Avenue   New York NY 10022,(212) 284-2300, ,www.jefco.com, 
Jump Trading LLC ,NYSE,600 West Chicago Avenue Suite 825 Chicago IL 60654,(312) 205-8900,(312) 205-8999,www.jumptrading.com, 
KFM Securities Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 656-5000, , , 
KeyBanc Capital Markets Inc.,NYSE,800 Superior Avenue   Cleveland OH 44114-2603,(216) 443-2300, ,www.key.com, 
Knight Capital Americas L.P.,NYSE,Newport Tower 545 Washington Blvd. Jersey City NJ 07310,(201) 222-9400,(201) 557-6853,www.knight-sec.com, 
Knight Execution and Clearing Services LLC,NYSE,545 Washington Blvd.   Jersey City NJ 07310,(201) 222-9400,(201) 557-6853,www.knight.com, 
Ladenburg Thalmann & Co. Inc.,NYSE,153 East 53rd Street 49th Floor New York NY 10022,(212) 409-2000,(212) 409-2515,www.Ladenburg.com, 
Latour Trading LLC,NYSE,377 Broadway 10th Floor New York NY 10013,(212) 219-6000, , , 
LavaFlow Inc.,NYSE,388 Greenwich Street 29th Floor New York NY 10014,(212) 519-8965, ,www.lavatrading.com, 
Lazard Capital Markets LLC,NYSE,30 Rockefeller Plaza   New York NY 10020,(212) 632-6000, ,www.lazardcap.com, 
Lek Securities Corporation,NYSE,1 Liberty Plaza 165 Broadway New York NY 10006,(212) 509-2300,(212) 509-3540,www.leksecurities.com, 
Lightspeed Trading LLC,NYSE,148 Madison Avenue 9th Floor New York NY 10016,(646) 393-4800,(646) 393-4844,www.lightspeed.com, 
Lime Brokerage LLC,NYSE,625 Broadway 12th Floor New York NY 10012,(212) 824-5000,(212) 219-6091,www.limebrokerage.com, 
Livermore Trading Group Inc.,NYSE,c/o Gettenberg Consulting 40 Wall Street - 34th Floor New York NY 10005,(212) 747-9450,(212) 668-8428,www.ltgtrade.com, 
MF Global Inc.,NYSE,440 South LaSalle Street 20th Floor Chicago IL 60605,(312) 663-7500,(312) 663-7524,www.mfglobal.com, 
